Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-06-12,927.37,936.14,924.02,926.06,1165694668
2019-06-13,921.73,921.73,905.02,905.01,1110009046
2019-06-14,908.43,913.23,900.24,907.87,999984462
2019-06-17,904.76,925.66,903.92,922.5,1198229503
2019-06-18,923.1,942.52,920.83,942.19,1325714443
2019-06-19,940.07,947.74,933.17,942.44,1420047687
2019-06-20,952.27,959.55,940.38,941.58,1817062631
2019-06-21,940.34,943.78,930.25,940.22,1116545281
2019-06-24,960.4,962.12,948.98,951.82,1229433643
2019-06-25,950.66,959.94,946.19,954.21,1242189352
2019-06-26,955.34,958.48,945.19,948.31,1008303474
2019-06-27,952.56,959.9,952.56,955.73,1146301118
2019-06-28,958.21,966.5,955.32,964.85,999857546
2019-07-01,986.63,999.71,983.74,997.36,1792631038
2019-07-02,998.18,1003.42,991.79,1002.01,1568848286
2019-07-03,1004.53,1005.01,991.43,993.63,1293455062
2019-07-04,997.31,1000.09,985.27,993.82,1059716055
2019-07-05,994.28,1004.48,992.62,996.35,1379383587
2019-07-08,981.06,991,978.91,986.95,1258571225
2019-07-09,987.25,991.15,967.84,968.11,1444963546
2019-07-10,968.41,986.99,962.71,985.85,1424359314
2019-07-11,994.28,997.26,989.33,994.06,1123591337
2019-07-12,994.61,998.71,968.55,970.98,1309480360
2019-07-16,978.6,987.53,976.34,980.28,1005166955
2019-07-17,984.22,999.2,980.39,998.06,1196625693
2019-07-18,997.17,1018.45,993.88,1015.66,1381637838
2019-07-19,1023.82,1028.82,1016.65,1018.49,1439621293
2019-07-22,1018.12,1021.47,1008.47,1010.89,1021403928
2019-07-23,1012.24,1029.17,1010.87,1025.56,1280452340
2019-07-24,1028.1,1034.57,1017.69,1034.57,1248744108
2019-07-25,1036.76,1041.54,1016.05,1020.45,1641907738
2019-07-26,1022.72,1032.59,1015.46,1028.37,1070209609
2019-07-29,1031.47,1035.26,1025.24,1033.73,944133927
2019-07-30,1035.19,1035.53,1019.7,1026.86,1151061208
2019-07-31,1030.59,1030.66,1015.4,1020.82,1126328091
2019-08-01,1013.42,1021.83,1010.93,1019,1038771688
2019-08-02,1015.08,1017.07,996.3,996.79,970543186
2019-08-05,994.07,999.81,985.04,986.73,957927239
2019-08-06,989.84,1000.58,988.23,995.84,940904334
2019-08-07,1000.29,1001.78,977.23,980.56,1209705810
2019-08-08,991.25,993.32,978.52,992.08,1137416503
2019-08-09,992.89,998.75,987.78,994.05,1008558701
2019-08-15,985.04,985.31,965.08,965.79,1109473336
2019-08-16,971.99,975.72,957.31,957.34,1087229933
2019-08-19,965.01,967.32,950.99,952.86,1044037409
2019-08-20,954.62,965.83,953.14,960.32,1093199126
2019-08-21,961.64,964.53,952.62,955.22,1080796232
2019-08-22,957.3,961.17,943.49,953.94,1088985025
2019-08-23,956.88,974.04,952.71,971.49,1097474194
2019-08-26,956.49,974.48,956.49,971.01,1015232351
2019-08-27,973.51,973.51,959.18,960.3,1204501279
2019-08-28,964.93,965.97,952.92,959.08,1242670102
2019-08-29,961.3,972.57,957.82,967.18,1184241164
2019-09-02,967.38,986.31,967.38,983.43,1391174234
2019-09-03,983.13,994.75,979.57,988.26,1845391267
2019-09-04,996.57,1002.41,992.89,1000.78,1816728026
2019-09-05,1006.18,1008.77,998.15,1002.78,1819245753
2019-09-06,1001.66,1004.02,989.36,989.87,1467636549
2019-09-09,998.37,1011.66,998.37,1006.05,1521430353
2019-09-10,1006.14,1014.1,1003.36,1012.13,1664274275
2019-09-11,1015.98,1021.88,1013.53,1019.22,1464633317
2019-09-12,1023.12,1030.09,1017.46,1024.47,1658172694
2019-09-13,1027.07,1032.58,1023.09,1030.72,1334745692
2019-09-16,1025.52,1033.21,1022.46,1025.9,1399745556
2019-09-17,1026.59,1026.63,1009.76,1014.47,1637550583
2019-09-18,1014.71,1020.95,1006,1019.3,1441722958
2019-09-19,1020.97,1021.42,1000.31,1003.39,1471999388
2019-09-20,1006.41,1009.64,999.33,1002.37,1605272552
2019-09-23,1004.45,1007.16,995.83,1000.21,1301543542
2019-09-24,1013.76,1022.36,1013.76,1018.47,1623181409
2019-09-25,1016.96,1026.18,1015.56,1026.18,1560005096
2019-09-26,1029.14,1031.2,1019.14,1019.4,1344741925
2019-09-27,1022.11,1052.42,1022.11,1051.52,2022733529
2019-09-30,1057,1058.34,1049.72,1050.33,1762080121
2019-10-01,1052.75,1052.97,1031.89,1038.77,1811156640
2019-10-02,1038.32,1044.46,1031.84,1035.09,1616147569
2019-10-03,1038.85,1047.68,1020.62,1027.84,1610216223
2019-10-04,1031.77,1038.75,1028.24,1034.64,1493364148
2019-10-07,1032.94,1051.76,1025.72,1029.93,2077228743
2019-10-08,1022.7,1028.17,1006.56,1018.59,2214472559
2019-10-09,1021.47,1026.03,996.23,996.49,1905587185
2019-10-10,999.58,1002.6,975.11,987.8,1854990624
2019-10-11,992.32,997.83,987.76,990.28,1354621966
2019-10-14,979.8,980.74,933.82,939.81,1977075224
2019-10-15,955.93,958.73,947.9,952.58,1363151362
