Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-12-15,547.95,568.13,547.95,565.2
2015-12-16,565.78,573.25,562.02,571.8
2015-12-17,566.1,568.75,551.48,555.6
2015-12-18,556.4,561.75,546.4,557.6
2015-12-21,557.15,560.76,550.3,553.43
2015-12-22,553.25,558.66,550.05,556.2
2015-12-23,555.8,559.95,549.7,552.85
2015-12-24,554.5,560.25,553.75,559.06
2015-12-28,564,564,551.18,551.45
2015-12-29,552.85,558.38,552,557.8
2015-12-30,557.43,560.03,541.9,542.75
2015-12-31,545.75,562.5,545.03,562
2016-01-04,556.35,558.55,539.6,540.45
2016-01-05,542.1,547.6,534.2,535.3
2016-01-06,537.75,538,505.05,508.7
2016-01-07,510.2,511.2,485.02,495.25
2016-01-08,493.93,505.15,490,493.69
2016-01-11,489.5,492.01,474.48,479.53
2016-01-12,475.07,476.5,453.32,471.45
2016-01-13,468.3,496.86,468.15,485.6
2016-01-14,482.2,494.7,480.4,492.9
2016-01-15,493.5,497.84,483.5,489.57
2016-01-18,491.24,496.9,489.45,495.75
2016-01-19,492.6,505.35,492,495.9
2016-01-20,494.64,495.88,484.06,495.7
2016-01-21,499.351,501.2,492.701,499.251
2016-01-22,500.2,508.96,497.9,498.1
2016-01-25,501.05,501.15,489.65,489.8
2016-01-26,488.4,501.1,488.3,494.73
2016-01-27,496.73,502.61,492.6,499.5
2016-01-28,500.1,505.19,490.35,491.4
2016-01-29,493.5,502.14,492.2,498.2
2016-02-01,501.45,506.35,496.05,503.7
2016-02-02,505.03,505.03,490.44,492.5
2016-02-03,490.55,514.8,486.75,510.15
2016-02-04,512.35,517.4,506.15,513.15
2016-02-05,513.7,518.45,498.45,501.9
2016-02-08,501.65,518.35,494.15,515.55
2016-02-09,515.23,518.55,510.4,516.25
2016-02-10,519.32,523.53,508.53,522.6
2016-02-11,524.45,530.25,521.26,525.05
2016-02-12,522.7,530.29,520.5,522.58
2016-02-15,519.43,522,510.45,513.5
2016-02-16,513.51,514.03,506.34,508.68
2016-02-17,510.65,516,508.7,514.3
2016-02-18,516.63,518.16,499.45,503.5
2016-02-19,503.85,505.15,497.57,499.67
2016-02-22,500.53,503.04,496.1,496.85
2016-02-23,498.35,502.3,494.9,501.85
2016-02-24,501.45,501.6,486.01,488.45
2016-02-25,488.28,494.7,481.35,486.05
